time,result,side,price,size,ltp,best_bid,best_ask,spread_pct,limit_pct
2026-01-20 04:14:57,SKIP_SPREAD,,,,14716805.0,14716789.0,14727262.0,0.0712,0.05
2026-01-20 14:02:17,SKIP_SPREAD,,,,14537382.0,14530030.0,14537309.0,0.0501,0.05
2026-01-20 14:04:41,OBSERVE_OK,,,,14502883.0,14497109.0,14502524.0,0.0373,0.05
2026-01-20 14:04:52,OBSERVE_OK,,,,14492375.0,14492375.0,14497781.0,0.0373,0.05
2026-01-20 14:10:02,OBSERVE_OK,,,,14487159.0,14487159.0,14489997.0,0.0196,0.05
2026-01-20 14:10:06,OBSERVE_OK,,,,14487159.0,14487158.0,14489997.0,0.0196,0.05
2026-01-20 14:10:18,OBSERVE_OK,,,,14491141.0,14488574.0,14494698.0,0.0423,0.05
2026-01-20 14:10:28,OBSERVE_OK,,,,14493112.0,14493112.0,14495015.0,0.0131,0.05
2026-01-20 14:10:37,OBSERVE_OK,,,,14496683.0,14493115.0,14498532.0,0.0374,0.05
2026-01-20 14:10:55,OBSERVE_OK,,,,14496681.0,14493115.0,14496645.0,0.0244,0.05
2026-01-20 14:11:02,OBSERVE_OK,,,,14496683.0,14493115.0,14496703.0,0.0248,0.05
2026-01-20 14:11:55,OBSERVE_OK,,,,14452586.0,14450036.0,14452586.0,0.0176,0.05
2026-01-20 14:12:13,OBSERVE_OK,,,,14459102.0,14452720.0,14458548.0,0.0403,0.05
2026-01-20 14:12:42,OBSERVE_OK,,,,14450881.0,14450881.0,14452735.0,0.0128,0.05
2026-01-20 14:12:50,OBSERVE_OK,,,,14451412.0,14451412.0,14454430.0,0.0209,0.05
2026-01-20 14:13:30,SKIP_SPREAD,,,,14449238.0,14449426.0,14457943.0,0.0589,0.05
2026-01-20 14:13:37,SKIP_SPREAD,,,,14449238.0,14449583.0,14456944.0,0.0509,0.05
2026-01-20 14:13:42,OBSERVE_OK,,,,14449238.0,14450000.0,14456931.0,0.048,0.05
2026-01-20 14:14:10,SKIP_SPREAD,,,,14451697.0,14450413.0,14459012.0,0.0595,0.05
2026-01-20 14:14:28,OBSERVE_OK,,,,14451697.0,14451697.0,14457840.0,0.0425,0.05
2026-01-20 14:14:32,OBSERVE_OK,,,,14451697.0,14451697.0,14457825.0,0.0424,0.05
2026-01-20 14:14:37,OBSERVE_OK,,,,14451697.0,14451697.0,14457825.0,0.0424,0.05
2026-01-20 14:14:40,OBSERVE_OK,,,,14451697.0,14451842.0,14457844.0,0.0415,0.05
2026-01-20 14:14:46,OBSERVE_OK,,,,14451697.0,14452132.0,14457772.0,0.039,0.05
2026-01-20 14:14:51,OBSERVE_OK,,,,14451697.0,14452277.0,14457063.0,0.0331,0.05
2026-01-20 14:15:14,OBSERVE_OK,,,,14443130.0,14439561.0,14445677.0,0.0423,0.05
2026-01-20 14:15:38,SKIP_SPREAD,,,,14448335.0,14442989.0,14450715.0,0.0535,0.05
2026-01-20 14:15:45,SKIP_SPREAD,,,,14448335.0,14443420.0,14450715.0,0.0505,0.05
2026-01-20 14:18:04,OBSERVE_OK,,,,14472979.0,14467062.0,14472943.0,0.0406,0.05
2026-01-20 14:18:22,OBSERVE_OK,,,,14472841.0,14467823.0,14474586.0,0.0467,0.05
2026-01-20 14:18:25,OBSERVE_OK,,,,14472841.0,14467827.0,14474548.0,0.0464,0.05
2026-01-20 14:25:59,OBSERVE_OK,,,,14501170.0,14496133.0,14501099.0,0.0342,0.05
2026-01-20 14:27:00,OBSERVE_OK,,,,14501051.0,14495157.0,14501051.0,0.0406,0.05
2026-01-20 14:28:00,OBSERVE_OK,,,,14510000.0,14505631.0,14511984.0,0.0438,0.05
2026-01-20 14:29:00,OBSERVE_OK,,,,14509754.0,14503381.0,14509727.0,0.0437,0.05
2026-01-20 14:30:01,SKIP_SPREAD,,,,14510689.0,14506449.0,14515591.0,0.063,0.05
2026-01-20 14:31:01,OBSERVE_OK,,,,14506669.0,14501942.0,14508390.0,0.0444,0.05
2026-01-20 14:32:02,SKIP_SPREAD,,,,14515090.0,14507319.0,14517805.0,0.0722,0.05
2026-01-20 14:36:10,OBSERVE_OK,,,,14517000.0,14512518.0,14517798.0,0.0364,0.05
2026-01-20 14:38:19,OBSERVE_OK,,,,14518134.0,14516633.0,14518134.0,0.0103,0.05
2026-01-20 14:39:20,OBSERVE_OK,,,,14515459.0,14511002.0,14515368.0,0.0301,0.05
2026-01-20 14:40:20,OBSERVE_OK,,,,14499939.0,14498725.0,14504722.0,0.0414,0.05
2026-01-20 14:41:53,OBSERVE_OK,,,,14485200.0,14480200.0,14485852.0,0.039,0.05
2026-01-20 14:42:53,OBSERVE_OK,,,,14488638.0,14482639.0,14488637.0,0.0414,0.05
2026-01-20 14:43:53,OBSERVE_OK,,,,14494658.0,14490246.0,14496318.0,0.0419,0.05
2026-01-20 14:44:54,OBSERVE_OK,,,,14490539.0,14497440.0,14500355.0,0.0201,0.05
2026-01-20 14:45:54,OBSERVE_OK,,,,14507753.0,14505256.0,14511753.0,0.0448,0.05
2026-01-20 14:46:55,OBSERVE_OK,,,,14516553.0,14512233.0,14517941.0,0.0393,0.05
2026-01-20 14:47:55,OBSERVE_OK,,,,14508808.0,14503234.0,14509398.0,0.0425,0.05
2026-01-20 14:48:55,SKIP_SPREAD,,,,14510000.0,14509454.0,14516836.0,0.0509,0.05
2026-01-20 14:49:56,OBSERVE_OK,,,,14514825.0,14511625.0,14514825.0,0.022,0.05
2026-01-20 14:50:56,OBSERVE_OK,,,,14513834.0,14510405.0,14515719.0,0.0366,0.05
2026-01-20 14:51:57,OBSERVE_OK,,,,14524600.0,14520087.0,14525089.0,0.0344,0.05
2026-01-20 14:52:54,OBSERVE_OK,,,,14519207.0,14511532.0,14518028.0,0.0447,0.05
2026-01-20 14:53:55,OBSERVE_OK,,,,14515407.0,14511030.0,14517082.0,0.0417,0.05
2026-01-20 14:54:55,OBSERVE_OK,,,,14512338.0,14508486.0,14512076.0,0.0247,0.05
2026-01-20 14:55:55,OBSERVE_OK,,,,14512287.0,14508352.0,14512012.0,0.0252,0.05
2026-01-20 14:56:56,OBSERVE_OK,,,,14511500.0,14508352.0,14511500.0,0.0217,0.05
2026-01-20 14:57:56,OBSERVE_OK,,,,14506864.0,14506900.0,14512840.0,0.0409,0.05
2026-01-20 14:58:56,OBSERVE_OK,,,,14508579.0,14501496.0,14508567.0,0.0487,0.05
2026-01-20 14:59:57,OBSERVE_OK,,,,14508579.0,14500706.0,14505632.0,0.034,0.05
2026-01-20 15:00:57,OBSERVE_OK,,,,14498560.0,14495002.0,14498560.0,0.0245,0.05
2026-01-20 15:01:58,OBSERVE_OK,,,,14494898.0,14490551.0,14494899.0,0.03,0.05
2026-01-20 15:02:58,OBSERVE_OK,,,,14497150.0,14491221.0,14496278.0,0.0349,0.05
2026-01-20 15:03:59,OBSERVE_OK,,,,14497378.0,14492187.0,14497378.0,0.0358,0.05
2026-01-20 15:04:59,OBSERVE_OK,,,,14490577.0,14487086.0,14490577.0,0.0241,0.05
2026-01-20 15:06:08,SKIP_SPREAD,,,,14486032.0,14486242.0,14493735.0,0.0517,0.05
2026-01-20 15:07:08,OBSERVE_OK,,,,14492149.0,14486727.0,14493099.0,0.044,0.05
2026-01-20 15:08:09,OBSERVE_OK,,,,14499897.0,14497061.0,14498644.0,0.0109,0.05
2026-01-20 15:09:09,OBSERVE_OK,,,,14493344.0,14488129.0,14493012.0,0.0337,0.05
2026-01-20 15:10:10,OBSERVE_OK,,,,14495872.0,14491946.0,14497899.0,0.0411,0.05
2026-01-20 15:11:10,OBSERVE_OK,,,,14488460.0,14488469.0,14493050.0,0.0316,0.05
2026-01-20 15:12:11,OBSERVE_OK,,,,14491389.0,14488131.0,14491119.0,0.0206,0.05
2026-01-20 15:13:11,OBSERVE_OK,,,,14481778.0,14480203.0,14486603.0,0.0442,0.05
2026-01-20 15:14:12,OBSERVE_OK,,,,14484597.0,14480938.0,14484772.0,0.0265,0.05
2026-01-20 15:15:12,SKIP_SPREAD,,,,14480118.0,14476980.0,14484885.0,0.0546,0.05
